no.,id,emotion label
1,spk1_1,Angry
2,spk3_2,Angry
3,spk8_3,Angry
4,spk12_2,Angry
5,spk39_1,Angry
6,spk40_1,Angry
7,spk41_1,Angry
8,spk42_1,Angry
9,spk44_1,Angry
10,spk47_1,Angry
11,spk56_3,Angry
12,spk62_2,Angry
13,spk2_2,Sad
14,spk4_4,Sad
15,spk5_1,Sad
16,spk6_2,Sad
17,spk7_6,Sad
18,spk9_1,Sad
19,spk10_1,Sad
20,spk11_3,Sad
21,spk13_1,Sad
22,spk17_1,Sad
23,spk18_1,Sad
24,spk19_4,Sad
25,spk14_1,Happy
26,spk23_6,Happy
27,spk24_2,Happy
28,spk25_1,Happy
29,spk27_1,Happy
30,spk28_1,Happy
31,spk30_3,Happy
32,spk32_1,Happy
33,spk33_1,Happy
34,spk49_1,Happy
35,spk55_1,Happy
36,spk61_1,Happy
